State,Count,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GA, Decatur County ,0,0,0,16.29903292,37.17274707,15.2975371,19.36108422,0,4.555601112,8.958566629,0,9.005358188,13.41021859,8.859750155,13.10558735,4.2999656
GA, DeKalb County ,10.62951243,7.544068596,7.606756067,7.878507117,9.526099952,6.803204928,5.892012999,5.369624037,5.442601151,5.403226749,6.814586695,5.590981031,5.370045603,3.7663575,3.291521863,1.215979593
GA, Dodge County ,3.543209439,10.76426265,17.92628711,3.597769383,3.601916219,3.634909672,14.37039698,7.172829323,3.570153517,17.82022952,10.78748652,7.228306046,3.637157198,0,0,0
GA, Dooly County ,0,5.124788602,20.23165242,9.910802775,4.921502042,9.732360097,14.3170755,4.711425206,4.673115566,4.61701833,13.78106482,9.32618326,4.685376939,0,0,0
GA, Dougherty County ,95.49440056,149.5016611,98.30425166,55.96418292,85.61643836,60.18657839,29.15664407,115.3818418,84.56063702,101.5640869,33.67910548,20.58460272,55.77244841,48.98530441,21.2404418,7.182360124
GA, Douglas County ,13.56158524,6.253647961,12.57479383,9.472188602,12.68552582,11.62667794,11.65032091,9.521592857,8.477899177,4.224400135,11.63257968,9.479271992,6.343165239,3.217572234,4.323062457,1.095782334
GA, Early County ,0,0,0,0,3.725192546,0.882192071,1.667806334,0.796431985,2.316459215,0.76166103,2.261658851,0,1.494723626,0,0,0
GA, Echols County ,0,8.192020972,0,0,0,8.511362669,0,0,8.87941751,0,0,0,9.420631182,0,0,0
GA, Effingham County ,158.6462189,52.99417064,159.9573447,52.02913632,76.41365257,126.710593,51.11167902,76.18080244,126.4542236,224.3270189,74.44168734,97.13453133,74.81296758,74.27581084,49.17629702,24.72187886
GA, Elbert County ,5.297311614,7.669495858,7.360698776,7.114399545,13.73815084,6.560388375,4.182088117,4.027386226,0,7.705941281,1.906105255,1.896993266,5.617977528,5.505799442,1.801607033,1.749628204
GA, Emanuel County ,19.54652072,14.60280374,14.55604076,19.44390434,19.33020828,14.56805711,4.84707479,9.731886526,9.767055721,4.917629702,14.92760113,5.043881771,10.20616452,15.36963984,10.30396703,0
GA, Evans County ,13.72934877,0,4.648784343,0,4.634135039,4.592000735,0,9.046089828,4.460104366,8.906305664,4.423017382,0,0,4.387119417,0,4.413257425
GA, Fannin County ,18.99154876,37.41464783,55.12172715,27.22323049,36.73431904,18.35704452,55.10147856,27.52546105,27.22323049,36.31082062,109.0017259,36.5230095,37.50937734,46.37788702,27.70850651,18.64975755
GA, Fayette County ,40.09221209,58.78894768,52.27888408,23.33831217,54.86215883,54.11743483,21.97029616,64.69700237,38.43525794,50.71636871,46.43505424,34.02083776,17.0386778,12.65075483,21.08903792,8.235536339
GA, Floyd County ,18.4636104,9.565716472,15.6728348,16.38773378,12.06721438,7.846137249,15.36998434,9.524807361,11.40771161,16.11481331,14.01960876,9.327662115,10.23608126,8.311246964,6.389776358,6.332205598
GA, Forsyth County ,7.706110946,8.773757691,15.11928032,8.552582345,9.573042313,9.540770894,9.457258446,11.54152852,11.4676508,9.337746283,11.40806654,19.74764587,11.45058034,6.249609399,9.369046752,3.115167752
GA, Franklin County ,0.996015936,2.76520633,2.590740693,3.260036838,1.542745624,1.453034299,2.037655881,1.909259271,1.202371076,1.744257034,1.131413701,1.096785869,1.599036314,0.513397097,1.472905896,1.41426046
GA, Fulton County ,11.67191154,9.688478164,9.405947246,9.129713776,10.05697954,8.968636678,7.53671934,7.929957912,8.750871441,6.949894159,6.640806021,4.295889407,6.630925508,4.755151647,5.397064827,2.592943373
